,date,Comment,Sentiment_b,longitude,latitude
20734,2015-07-14 04:49:50,"I can understand and even agree with Mr. Brooks's endorsement of ""classic liberal efforts to give people a boost,"" but I dislike his condescension when he calls progressives ""crazy"" and suggests that they inhabit ""class warfare fever swamps."" I do not think that reducing excessive, unjust, and unsustainable economic inequality is a crazy idea at all. I will vote for Clinton over any Republican, but I would prefer a Democratic nominee who is not so cozy with Wall Street and corporate America. Call me crazy.",0.0,-74.5089,40.314
593,2015-07-14 05:03:35,"Thank you for praising Hillary with faint damns, David!  How amazing that you can yanl the rug out from under Mrs. Clinton, while you stick to the ancient GOP ethos of inequality of income, taking our country ""back, etc.  You LIKE Donald Trump and JEB!, David?  You are FOR the 16 declared Wannabe POTUSes in your antidiluvian party?  Please!  Our country is in a deep hole halfway to China that was dug by the Republicans and their plutocrats and greedy rich folk and FAUX news Kling-Ons who don't know the meaning of, and can't abide the hubris of the ""Neopaleoliberal"" and ""episytemologically naive"" Democrats. Crikey, high-flown phrases won't cut the mustard of the Republican/Tea Party's dreadful ignorance 16 months before Election Day 2016!   Blatherskite is the Republicans' platform and mantra, now that their fervent desire to remove President Barack Obama from the White House and Oval Office will occur in January 2017!",0.0,-81.717,27.8333
24966,2015-07-14 05:22:26,"If Hillary Clinton's economic policies have been tried and proven fruitless what would Mr. Brooks say about the disasters of Reaganomics and George W.'s policies of hands off, let the pigs eat whatever they want ?Has Mr. Brooks forgotten what policies were in effect and which party was in power that brought us The Great Depression and The Great Recession ?How many more decades will it take for Republicans to admit that Social Security and Medicare and building infrastructure works ?David, if you're tired of hearing the same old, same old that never works you should stop listening to conservatives.",1.0,-89.6812,32.7673
24382,2015-07-14 06:19:20,"A digression on a word: from Mrs. Clinton's statement ""we'll ensure that no firm is too complex to manage and oversee"", Mr. Brooks gleans ""government is more competent at steering companies toward their own best interests than the companies are themselves."" - NO, this is not a nanny-state 'I know what's better for you than you do argument', and I think that Mr. Brooks has misrepresented the logic of governmental oversight into corporate organization/operation. Corporations do a fine job of looking out for themselves, Mr. Brooks, and surely they don't require any help from the government in this regard. Where they fail is in looking out for US! Everything that is external to the corporation is secondary (if it somehow affects the corp) or simply nonexistent (if it doesn't) to the calculus of profit - this is simply descriptive, no evaluative - it is simply the nature of the beast. I believe a policy discussion should consider at the least three actors: Government, private sector, and the People (and their interests) - I believe the more accurate interpretation of Mrs. Clinton's sentiment is ""government is more interested in steering companies toward OUR best interests than the companies are themselves"" - would anyone disagree with this? really?",1.0,-82.7755,40.3736
16865,2015-07-14 06:19:28,"As a liberal, I am not excited by Clinton's pronouncements. She provides ambiguous sops to liberals but shows none of the fire needed to get anything done. I am fearful that if she is elected she will embrace a ""moderate"" stance that Bill did just before he pulled the Democratic Party to the right.In addition, we've seen how merciless the GOP was against Obama and Bill Clinton, why would we suppose that they would be any less rabid with Clinton and all the baggage she carries. A Clinton-Bush face off would be an open acknowledgement that the Oligarchs have won.",0.0,-93.9196,45.7326
23364,2015-07-14 06:28:22,"You know, there is something to the idea that corporations could act more efficiently and provide better benefits to shareholders, employees, and customers, alike, by reducing complexity.  I believe that boards of directors and management often introduce complexities into the institutions they oversee in order to hedge their own private vested interests.  However, Ms. Clinton's proposals have two fundamental problems.  First, the government is even worse, much worse, than corporations are in introducing unnecessary complexities to protect vested interests.  Second, Ms. Clinton's proposals (and all current liberal or progressive proposals) are too heavy-handed to successfully  create positive effects in the market.  Government can have a positive effect on the market and on motivating corporations to act in the best interest of all their stakeholders, but it must do so with a light touch, or otherwise it creates more problems than it solves.  The government must act as a catalyst, not as a manager.  And the catalyst itself must be relatively simple and unbureaucratic.",1.0,-84.5603,43.3504
19043,2015-07-14 06:48:28,"""New Democrats like her husband believed in using market mechanisms to increase economic security. ""President Clinton's using of ""market mechanisms"" did us no favor when he helped repeal the Glass–Steagall Act which was an important factor in the financial crisis.  This was just another example of the unfettered ""invisible hand of the market"" slapping the face of the average American.That being said just about anything Hillary does about the economy would better then the ""one trick pony""   solution of the republicans which is to slash income taxes for corporations and the top earners and to eliminate all sensible regulations.",1.0,-119.7462,36.17
24033,2015-07-14 07:16:06,"So, David, here's a question:  Would you rather have a President Clinton or a President Trump?  I can't imagine that your answer would be Trump.  How Trump jumped into second place is a very frightening comment on your party.  It's frightening to me that he actually might become president.  And, I have to say, if that happened, I would, at the age of 64 leave this country because I know we would be completely lost.  So how do you answer that so many people in your party like this horrible person?  He 'tells it like it is'.  Yes.  Meanness and hatred come oozing out of him and the people who like it, just suck it right up.  Do you want to be counted among them, David?",0.0,-69.3977,44.6074
19432,2015-07-14 07:38:28,"It's difficult to assess how naïve Hillary Clinton's economics are, but it's safe to say that the Republican economics of the past 30 years have only benefited a very small number of privileged people. Maybe it's time to try something else ... before it's too late.  ",0.0,-89.0022,40.3363
21825,2015-07-14 07:49:36,"""This neopaleoliberalism is built less on going after Wall Street and the rich and more on a tremendous faith in government to manage the economy more intelligently than the private sector. It’s less a negative assault on the elites and more an optimistic faith in the power of planning. The private sector is not evil or power hungry, just kind of dumb.""I think you are really overstating the degree to which Hillary Clinton wants to be involved in ""planning"" the economy. Like most people with a decent knowledge of history and of the history of the political economy, Ms. Clinton understands that some government controls are necessary to be sure that the rich and powerful don't continually grab more of the economic pie for themselves, beyond any reasonable claim to those increased rewards. ",1.0,-71.5314,42.2373
16603,2015-07-14 08:10:24,"This is well thought out.  Instead of paleoliberalism, Mrs. Clinton should study Henry Clay and Lincoln -- American Whig-ism.  Infrastructure, Education, etc.  Early childhood education?  Where is the evidence it is anything more than group babysitting?  It could be more, but that would require massive training of the providers.  Now, I suspect it is another cottage industry whose members all vote Democratic.  Are some large corporations/banks too complex to manage?  Perhaps they are, but better to have the market correct that, because the government cannot keep its own house in order very well:  SEC and Madoff?  The VA?  Note the report today that JPMorgan Chase reduced expenses in part by selling its commodities division -- did the government tell it to do that?",1.0,-74.9384,42.1497
23604,2015-07-14 09:01:34,"""New Democrats like her husband believed in using market mechanisms to increase economic security....In each case, in this view, government is more competent at steering companies toward their own best interests than the companies are themselves.""1) Her proposals ARE market mechanisms .... just not laissez-faire mechanisms. E.g., requiring employers to pay sufficient wages so that workers are not reliant on public welfare is a foundational requirement for an acceptably efficient market system.2) No, her view is that government is more competent at steering companies toward AMERICA'S best interests. I.e., we do not regulate the financial industry because its fun but because this industry has proven itself to tend toward excess and to possess the capacity to destroy the rest of the economy.The only ""paleo"" theory of economics I see being put forward is from Mrs. Clinton's GOP opponents who speak and act as if they'd learned nothing since the early days of a Reagan candidacy nearly 50 years ago.",1.0,-105.3272,39.0646
16596,2015-07-14 09:19:44,It seems to me you can make a distinction between liberty and freedom. Liberty usually means some kind of untrammeled action while freedom usually means action within limits. Yes we have a free market but there are always limitations on the market. There are government restrictions on what kind of movie I can make. I can make a sex movie as along as the actors are of a certain age; that's how the free market works. Libertarians see things differently--the skies the limit mostly on what you can do.Clinton is a free marketer but--government gets involved. I'm sure of that with the others.,1.0,-74.9384,42.1497
24648,2015-07-14 09:31:57,"In the end the debate on the Democratic side is one of how best to, in the TR/FDR tradition, save capitalism from itself. Dedpite the fears of the right, not even Sanders is proposing a move away from a market economy. Sanders' argument is that the system has ceased to work for most Americans. That's an increasingly mainstream view.On the one hand Sanders is right that the game is rigged. On the other, the issue of what can actually be accomplished is one that those of us on the left are struggling with. Clinton's approach is fundamentally incremental and perhaps too much so in that it is yet unclear whether she is seeking an accommodation with the existing economic order or proposing something more along lines of changing that order.Time will tell what course we eventually go down but the glory days of the Reagan Revolution are numbered. The question is whether we get incremental but meaningful change or a true reshuffling of things.",1.0,-77.0262,38.8964
14033,2015-07-14 10:19:42,"""Clinton’s unchastened faith in the power of government planning is not shared by most voters.""the reforms she calls for are quite reasonable and in now way can be called an unchastened faith in government planning except by someone like Brooks - pure nonsense.  Adn i love the way the right castigates any reasonable proposal class warfare.  To me, real class warfare is the reduced capital gains tax rates - the rich eating at the expense of the poor.  There is no excuse for taxing labor at a higher rate than earnings from capital.   ",1.0,-72.7622,41.5834
20730,2015-07-14 10:46:34,"""In each case, in [Clinton's] view, government is more competent at steering companies toward their own best interests than the companies are themselves.""-----------------------------------------------------------------------What comprises a company's best interests? Is it a long-term commitment to prosperity, as evidenced by paying a sufficient wage in order to attract and retain the most talented workers? Is it a forward-thinking policy of plowing profits back into productive R&amp;D initiatives, even if they may depress the short-term bottom line to achieve long-term prosperity? Or rather, is it a policy which favors the funneling of short-term profits into stock buybacks and dividends to reward speculators and the payment of gargantuan bonuses to free-agent CEOs whose allegiance to the company lasts until someone else offers a better deal?",1.0,-74.5089,40.314
23774,2015-07-14 11:32:16,"Clinton may be naive, but at least she accepts that 'government' isn't ALWAYS the problem, and does, indeed, have a positive role to play in the development of fiscal policy",0.0,-92.302,38.4623
16592,2015-07-14 12:29:06,"Today I volunteer to translate how David Brooks hears what Hillary Clinton says:""Government can write rules to govern how much companies pay their workers"" = Raise the minimum wage, pay workers for overtime.""Government can direct investors toward more sensible long-term investments"" = Invest in clean energy and our infrastructure.""Government can refashion the way companies distribute equity in their companies"" = Encourage companies to share profits with their employeesWhen I look at what Hillary Clinton actually said - as opposed to how David Brooks translates what she said - it seems mighty reasonable.",1.0,-74.9384,42.1497
584,2015-07-14 13:19:26,"Showing off his Nobel Prize in Economics, I see.  No, wait. That would be Krugman - who actually gets it right and would agree with the possibilities Clinton proposes. Instead of ""liberally"" shilling for the right, something Brooks does best.",1.0,-81.717,27.8333
22331,2015-07-14 13:23:00,"David Brooks characterized Hillary Clinton's speech as "" economically naive but politically masterful."" I wonder whether he characterizes the squad of GOP candidate speeches as"" economically masterful but politically naive."" ",1.0,-80.9066,33.8191
24031,2015-07-14 13:37:30,most people would peg me for a Hillary supporter...even though I worked for many hours for Move On to re elect Obama...and yet I have never supported Hillary Clinton...I'm sure she is a very nice and accomplished person.  But I would never want to have a cup of coffee with her. I was outraged at MoveOn when they tried to force Elizabeth Warren down our throats...even after she refused to run...I kept emailing MoveOn...what about Bernie Sanders...no response from an organization that emails me multiple times a day with their message of the day petition...Bernie Sanders has been the most honest and steadfast person to represent us....all the years he has served....I think Hillary Clinton has also spent her life in service to others...and has done a good job. But...and I realize it's a big BUT...I prefer Bernie Sanders...even though I'm a 62 year old white professional woman...go Bernie ,1.0,-69.3977,44.6074
16454,2015-07-15 05:20:03,No more Bushes or Clintons.   Barry Sanders gets my vote.,0.0,-74.9384,42.1497
16453,2015-07-15 05:34:38,"""The starkness of this language jumped out at me — “stalks” and, especially, “dehumanized,” a term we associate with subjects of nefarious experiments or victims of unspeakable abuse.""This is the language of a drama queen...in a drama obsessed society reported by a drama loving NYTimes.The bottom line is that Hilary Clinton is by far, the best and most qualified candidate for president currently running.",1.0,-74.9384,42.1497
16562,2015-07-15 05:46:45,"Dick Cheney and his fellow chicken Hawks do not "" defeat evil"". They inspire and enable it.Republicans overthrew a pro- American democratically elected government in Iran because they thought they could get a better deal on Iranian oil with regime change.  They supported the nuclear program of the brutal Shah's Regime that they installed, the foundation of the current Iranian nuclear program.After years of pushing Clinton to invade Iraq, which Clinton refused to do, Cheney declared war on Iraq in a speech in August 2002, long before the Congressional vote, which Cheney manipulated with faulty "" intelligence"".  Nothing strengthened Iran's current regime so much as the Bush/ Cheney invasion of Iraq.The blood of 60 years of disastrous policy and outcomes in Iran is on Republican hands.  They have destroyed the love and gratitude the world felt for America after WWII.The negotiating team has done the hard technical work of turning Iran and the U.S. onto a path of restored sanity.  Once again the destructive Macho Republicans fantasize that they can get a better deal by stomping around and talking tough.  They are as wrong as they have been for 6 decades.  We must stop following their blood- stained path of destruction.",0.0,-74.9384,42.1497
16452,2015-07-15 05:52:14,"Some of the most interesting people I have met in over six decades are strong women, with a mind of their own, who at times start with little and go on to make a wonderful impact on others; the poet Maya Angelou comes to mind and a family friend, a powerful book agent, who was still reinventing herself in her 80s, while remaining grounded in her field of endeavors and work.Mrs. Clinton appears to be one of these, recognizable to this American, and I admire her spunk, her courage and excitement about this business of living and giving.  Wonderful, these women are, although difficult at times,  but they are generous in sharing the tremendous energy they have with others.When having a day of rising from the wrong side of the bed, it is to Mrs. Clinton and others of her kind, that inspire me to try better and place ribbons in my hair and bells on my toes, to join her in celebrating a parade.  Perhaps one day, she will visit a famous diner hidden in the Hudson Valley, and the residents of the Village will give her a warm welcome as well.  ",1.0,-74.9384,42.1497
23771,2015-07-15 05:59:33,"More than telling me anything worthwhile about why Mrs. Clinton might be a good president, this article underlines how little these campaign scrums have to do with making an intelligent choice for the office.  The upcoming federal elections are 15 months away, and may end up revolving around issues not yet apparent in this volatile world.  Mrs. Clinton and the whole rest of the bunch could spare themselves a lot of unnecessary angst if they just park their bus (or van) for another 6 months, build their campaigns in private and give a little more thought as to why they want to run for president in the first place.  ",1.0,-92.302,38.4623
21787,2015-07-15 06:21:51,"I am at a loss at how Hillary can claim to be for Progressive values and how she can relate ""to the rest of us...""Question: What are you doing with that extra disposable income due to the drop in the price of gas?Answer: Mrs. Clinton: Oh, I thought that we had already moved to autonomous vehicles since I haven't driven in over 20 years..The idea that a candidate out of the political class is going to win in 2016 is seeming more and more of a far fetched idea...",1.0,-71.5314,42.2373
21788,2015-07-15 06:25:04,"If HIllary Clinton expects to become POTUS (or even, for that matter, win the nomination) she needs to be more exciting than she is.  The truth is that it is not in her character to be spontaneous and eloquent--to be inspiring--in the way that will make people come out and vote for her in a primary, or the general election.  She is in trouble.   The Party is in trouble, against a field of Republicans who have many charismatic, eloquent, experienced and young candidates.  Say what you will, everybody is talking about Republicans, what they say, what they do.  Hillary seems always in the periphery, distant, aloof, controlling, controlled.  I would say that this is shaping up to be 2008 for her all over again.  I mean some people are just perfect would-be candidates, but under the light of day, they are not up to the challenge. She is that person, it appears.",1.0,-71.5314,42.2373
14018,2015-07-15 06:26:04,"I have no doubts that Hillary Clinton is at her core a good person who I would like to have as a friend, if I had that opportunity.  She's smart and has a great sense of humor, qualities I greatly admire.  But those aren't really reasons for me to vote for her.  My reluctance to cast a ballot for her in the primaries is mostly the result of her politics, not because of her personality.",1.0,-72.7622,41.5834
21786,2015-07-15 06:42:36,"The main thing this article does is make the press scrum sound idiotic and brain dead. ""The definition of neurosis is doing the same thing over and over without getting different results."" The pointless, screaming mass of reporters render any event unpleasant for the candidate and the voters while accomplishing almost nothing. Everyone wants to gain an understanding of whether Clinton has what it takes to be president. And we are relying on journalists to help us with that. However, trailing behind her in a horde and shouting questions she's never going to answer is not going to help.",0.0,-71.5314,42.2373
16445,2015-07-15 06:49:18,"Rand Paul, libertarian.  Thats my vote.  Done with Bushes and Clintons.",0.0,-74.9384,42.1497
16442,2015-07-15 06:59:41,"I see the New York Times is continuing its work to elect Hillary Clinton.... along with her top donors: Citigroup, Goldman Sachs, JP Morgan Chase, Morgan Stanley, Time Warner, Lehman Brothers....Compare this with Mr. Sanders' top donors, and you'll see what differentiates the two candidates.  Top donors for Sanders: Machinists/Aerospace Workers Union, Teamsters Union, United Auto Workers, National Education Association, Communication Workers of America, United Foor &amp; Commercial Workers Union, and the list goes on and on.",1.0,-74.9384,42.1497
24364,2015-07-15 07:07:31,"The CNN interview was not good. Mrs. Clinton seemed defensive, disengaged, and somewhat unfriendly. Not to mention, she dodged a few questions. This was very bad  in my opinion. She must come across more likeable or voters will go elsewhere. ",0.0,-82.7755,40.3736
16547,2015-07-15 07:11:42,"""An agreement reached by President Bill Clinton to constrain North Korea’s quest for nuclear weapons fell apart when the country was caught cheating."" Yes but the demise the agreement was speeded by George W. Bush putting North Korea into the 'axis of evil'. It also was hurt by the release of reports soon after Bush became president that the US was discussing the use of nuclear weapons against North Korea ( ). Who knows what would have happened if we had a less bellicose leader for our country.",0.0,-74.9384,42.1497
22479,2015-07-15 07:13:05,"Hillary Clinton is the second-to-last person I'd want as president. The first is any Republican. She'll probably prevail on that fact alone. She's so easy to vilify, and rightly so, but none of that will matter to the ""I'm a woman and I vote"" crowd. ",1.0,-106.2371,34.8375
16437,2015-07-15 07:29:54,"Is this article really about Hillary Clinton?  Given the frequency with which Leibovich refers to himself in the first person, it reads more like it's about him and his perception of Hillary Clinton's ""re-re-re-reintroduction"".  ",1.0,-74.9384,42.1497
20680,2015-07-15 07:52:03,"Nobody wants another Clinton or Bush. Just stop it. If you are age 52 or under, there has always been a Bush or Clinton involved in national politics. Just stop it! We need more than the 2 parties which are controlled by the bankers anyway. I would not vote for Sanders, but I respect him 1000 times more than Hillary or Jeb!",1.0,-74.5089,40.314
13697,2015-07-15 08:18:24,"David Frum had it about right (unusual for him) when he wrote""Hillary Clinton wouldn't lead a fight for motherhood and apple pie if motherhood and apple pie were polling below 70 percent.""",1.0,-77.264,40.5773
19413,2015-07-15 08:27:17,"I do so wish that the New York Times would give 1/100th the coverage to Bernie Sanders that it does to Hillary Clinton. Most often they - and others - only report on Bernie in relation to Hillary Clinton.  That is, of course, in keeping with the Clintons' view of the world, with them at the center, but it is not in America's interest, nor the interest of free and fair elections.  I think the most revealing item in this report was from the old correspondence Hillary wrote to her friend in which she described trying out/using up various personae. She is still doing that, even as evidenced by her ""listening tours"" to put finger to the wind to see what her ""messages"" should contain now to garner more money and more ""support.""  Her many and varied pantsuits are the garb of a chameleon in a much more significant sense than fashion choices. She may have good reason to be embattled and embittered, I don't know, but she doesn't have the consistently long, straightforward and transparent positions and qualities of Bernie Sanders. The New York Times needs to stop always situating Bernie as an ""also ran"" when he's clearly the up and comer, and well deserved at that! She lacks “soul”, i.e. legitimacy, open-ness, honesty, and Bernie has it. ",1.0,-89.0022,40.3363
21785,2015-07-15 08:29:04,"I guess I'm very grateful the article was as well balanced as this, and focused less on policy and more on just who Hillary is.Who is she?  Well we all know her lifestory and how in one sense, like Scott Walker, she's been running for President (more or less) since high school and then college.  The fact she attended a women's college (I did too) means she was nurtured by faculty and fellow students to believe there was nothing a woman couldn't do.Like the author, I've heard stories that Clinton is far more personable in private than when she has her guard up in public.  I find that very believable and when I read she is adored by staff, I also believe that.But like many, I think she has to guard against seeming condescending: Leibovich didn't get into that aspect of how she comes across.  And the best way to do that, as he sort of points out, is to make the public more personal with stories, say, of her mother and what that signifies in her feelings about ""fighting"" for people.  If she can just link it more to policies that could have benefited her mother, and weave more into the fact that she's had some experience with people as hard up as they (her audiences), she would come across as more likeable.Hill will never be Bill.  Nor should she.  She should just try to let the public know who the real Hillary is, without artifice or design.  And above all, she should stop letting ""handlers"" try to rope her off--since seems as instinctive as Bill if you let her be.",1.0,-71.5314,42.2373
19427,2015-07-15 08:44:03,The deal makes another American presidential election hostage to Iranian good behavior. If they prefer the Republican candidate to Mrs.Clinton all they have to do is make some aggressive gestures in the period August-October next year and they will have elected the candidate they prefer. ,1.0,-89.0022,40.3363
16432,2015-07-15 09:02:59,"""She is true to herself....""  Ah, yes she is.  Being 68 years of age is working to her advantage.  She knows what matters most, and appears to be confidently and comfortably following a ""higher calling"".  I support Hillary Clinton, and we would be fortunate to have her as our President.",1.0,-74.9384,42.1497
23709,2015-07-15 09:04:43,"I have known Hillary--not well--since 1974 when Bill was Attorney General in Arkansas and she was supporting the family working at the Rose law firm. (When Bill got elected, the governor's salary was $5000.) I was always extremely impressed and appreciative of her efforts in a state that did not always want to do the right thing. Sadly, the media decided somehow the Clintons were sleazy beginning with the irresponsible Whitewater stories in this paper and have kept it up for years. That's why people don't trust her. I contend that both Clintons set a remarkable standard for honest public service and an objective review of the history would support that claim. The great sorrow is that the Democratic Party did not pick her eight years ago. She would have done a much better job of dealing with Republicans than the present incumbent who has never caught on. ",1.0,-92.3809,34.9513
23687,2015-07-15 09:07:39,"I was fortunate to be in a small crowd of State Department employees and Peace Corps Volunteers in Rabat, Morocco, to greet Hillary Clinton during her visit in 2011.  She shook hands with many in the crowd and posed for a picture with the Embassy children, during which she remarked that she would love to have a grandchild, quickly followed by ""But don't tell my daughter I said that"". It was a very human moment.  I found her personable, statesman-like, warm, and intelligent. Too bad more people aren't willing to see her in that light.  The real Hillary will make a fine President. ",1.0,-110.3261,46.9048
23595,2015-07-15 09:16:38,"As Hillary Clinton continues to remake herself, it makes one wonder if the Democrats needs to seriously consider someone else. It is rather scary, that Donald Trump is the most preferred GOP candidate. Hillary Clinton could actually lose to Donald Trump, because of celebrity recognition. Yes, the US voter is naive enough to play the election like ""Celebrity Apprentice"".  They are doing that right now, in GOP  preferred polls.A ticket of Bernie Sanders and Elizabeth Warren is sounding more appealing each day. That may be enough to combat the now 15 Republican seeking office. Out of that 15, Jeb Bush is the most reasonable stand out, the best of the worse one might say.American politics has declined to that no reasonably, intelligent person would choose to run. If they do, they are wrecked by the special interests, PACs and the like. Leaving the election to people like Ted Crizz or a Donald Trump. In a way, the current GOP crowd makes Sarah Palin look somewhat sane. Need I say more?Ms. Clinton has a great deal of ""reintroducing"" to do. To me it is like voting for 4 - 8 years more of the Clinton, George W. Bush  or Obama administration. That is business as usual; more for the oligarchs, more for Wall Street, more war and more decline fro 99% of America. The GOP alternative, makes Ms. Clinton much better. That is the better of two evils.",1.0,-105.3272,39.0646
16429,2015-07-15 09:48:25,"The New Clinton -- Hillary Du Jour, if you will -- is as convincing as The New Nixon. But we fell for that flimflammery, didn't we?Let's hope that this delusion doesn't turn into a national nightmare, too.",1.0,-74.9384,42.1497
13182,2015-07-15 09:54:19,I just noticed the most recommended comments are pro Sanders but the majority of the NYT Picks favor Clinton. Perhaps it’s time to redistribute your election coverage to better reflect your readers’ opinions?  ,1.0,-78.2057,37.768
16427,2015-07-15 10:13:55,"‘‘You know, I love parades.’’ -- Clinton""You know, we love circuses."" -- Voters",1.0,-74.9384,42.1497
16426,2015-07-15 10:46:01,"I found a read of Hillary Clinton's first biography a pretty good insight into who she really is.  She's been fighting for children's welfare and equal opportunity since before graduating from college.  In my book, that's pretty genuine.Now, on top of 2008, she has the extensive foreign policy experience which will greatly benefit her in this position.  And then there's SCOTUS issues looming.  And she's smart.  This is more than enough for me, given the disastrous GOP Presidents I've seen as well as the Scalia/Thomas perspectives and opinions.  I sure hope the American people can see the forest for the trees.",1.0,-74.9384,42.1497
17597,2015-07-15 10:46:07,"Ms Clinton is a weak candidate. She is a terrible campaigner and has never won a contested election.  Aside from ethics issues, her flaws will be very hard to hide when she is campaigning in the general election in front of crowds that are not packed with Clinton campaign operatives. I suspect the D vs R debates will be cringeworthy for Ms Clonton's fans, although Bush may prove just as bad.",0.0,-97.6475,31.105999999999998
18968,2015-07-15 11:02:25,"if nothing else, ""Clinton"" will be forever synonymous with grotesquely insincere.",0.0,-119.7462,36.17
