,Comment,URL,Recommendations,Locations,EditorPick,userID,date
10,"This blog and some of the comments are a reminder of how much discrimination and anti-semitism there is in the world. If you can't understand why these comparisons are a problem, it's because you haven't experienced discrimination. If you think people are overly sensitive or need to ""get over it,"" you must be a white, Christian male.<br /><br />My personal experience with discrimination: I am Scottish/Welsh but my husband's family, as far back as the family tree can be traced 18th century, on both sides is French/Irish/Catholic--with the exception of a German man (early 20th century) who married into the family and happened to have had a Jewish sounding name, although he was also Catholic.<br /><br />Since him only sons have been born into the family, which has carried that German surname through to the current generation.<br /><br />When people meet me for the first time they ask if my husband is Jewish. If they've never met me before and have only seen my name (business correspondence etc), they automatically assume I am Jewish because of my surname. And that assumption always has negative connotations, unless the person asking is Jewish.<br /><br />My husband and I know little of the Jewish faith or culture, but we certainly sympathize with Jews and others who are discriminated against solely because of their surnames, race, gender, etc.<br /><br />What are all of you white men afraid of?",,0,Saint Louis,False,51193491,1267418083
11,"Virginia, both you and Michael are in denial in a way different from that of a blazing bigot like Rep. Franks, but quite offensive.<br /><br />You said:  ""While there is no question that slavery in America was horrible, you are in no position to suggest that slavery in ancient Egypt or Rome were not as harsh, painful, or humiliating to the people suffering through it.""<br /><br />Actually, I am.  ""Chattel"" slavery means treating people as if they are property, no different from a chair or cow.  Bondage in Egypt and Rome was not chattel slavery.  That form of exploitation arose as part of the European expansion to and colonization of the New World.  The massive amount of labor needed to produce crops and other exports sent back to Europe became a justification for the trans-Atlantic slave trade.  Russian serfdom, the control of land by  the aristocracy, is not comparable to chattel slavery.  Serfs were not considered non-human or property.  Sexual slavery?  As commenter laura174 notes, it was a major part of chattel slavery.<br /><br />Both you and Michael are dismissive of chattel slavery being the biggest stain on world history for centuries because admitting it is implicates white people and that is not acceptable to you. You would like to see the victims blamed or an equal pointing of fingers.  But, the facts do not support that.  Rep. Franks takes the denial a step further by claiming slavery was beneficial, as does the commenter 'Charles B. Tiffany,' a name often seen at neo-Confederate and other racist websites.  His apocryphal claim of an 1860 census showing black men had life spans nearly equivalent to white men is of course, nonsense, as is the claim of blacks being off under slavery he is promoting.<br /><br />I cited several excellent historians who have studied American slavery above.  Instead of putting forth various evasions, it would be worthwhile for people who are in denial to buy some of those books and read them.",,3,Portland,False,8264296,1267325815
12,"Unfortunately Americans do not learn history any more. We invaded Iraq based on lies--and that is EXACTLY how World War II began with Germany using lies to invade Poland. We should all know the limits of horror to see it in a continuum, rather than isolated events.<br /><br />As for the health-care debate, our present system is untenable. With 50 million Americans uninsured while insurance-company profits crest, we have created a system that denies adequate care to more and more people for a profit motive. In Texas (of all places), deliberately doing nothing when someone is grievously injured is legally tantamount to murder. So with health insurers routinely using rescission of policies and other chicanery to deny coverage (and hence care) to their insureds should be seen as what it is--legally tantamount to murder. It turns a profit, while the whole apparatus of the Final Solution did not, and ultimately contributed to Germany's collapse through the gross waste of human potential (and lives), misuse of human beings, transport, and materiel--all for the promulgation of a perverse political agenda.<br /><br />Scapegoating one or more groups of people for political expediency has been done all of the time, and is simply WRONG. It never works. If a demagogue says that, ""Our problem is this or that group of people. Get rid of them and the rest of us will all live in peace, prosperity, and harmony,"" they are lying--it doesn't work and they'll demonize another group without admitting the error--or evil--of their ways.<br /><br />Sadly, we have the party of ""No,"" in this country, which does not want anyone except their orthodox, pragmatic followers to succeed. For over  30 years they have succeeded in convincing the gullible, the self-entitled, and the ignorant that taxes are evil and that there is no such thing as common/community/national interests. They started a war based on lies, and this misadventure (which has grossly profited some of the GOP's pet donors) has swelled the deficit far more than the cost of single-payer for all. In truth, the current version of the Republican Party poses a greater threat to Americans' rights to life, liberty, and the pursuit of happiness than Al Quaeda--this, despite the whole ""right to life"" bull.",,8,"Paterson, New Jersey, USA",False,34805902,1267291197
13,"To Ed at post number 25:<br /><br />I realize this concept may be difficult to grasp--but the unemployment number rose by two-tenths of a percent--because more people are LOOKING for work.<br /><br />The unemployment rate is NOT based on the number of people collecting unemployment.<br /><br />""The official unemployment rate is calculated based on people who are not employed during the reference week who actively looked for a job during the last four weeks, and who were able to work if called on. It also includes people who were laid off but waiting to be recalled back to work even though they don’t have to look for work to be considered unemployed.""<br /><br />The reason the unemployment rate can go up--even when the economy is adding more net jobs than it loses--is because the percentage--9.9% is based on the overall number of people the BLS calculates as being in the employment market--the total available workforce.<br /><br />As someone who has repeatedly denounced another regular poster to this blog for practicing ""observational science""--what I observe is all the is happening everywhere--(or as Jon Stewart famously labeled it ""Peek-a-Boo Science"")--I am loath to say what I am observing can be extrapolated outward--but I have in the last two weeks heard from five different people who have been out of work for over a year--but all of whom have landed good, full time jobs--in their chosen professions--not just flipping burgers part time.<br /><br />When ever I visited retailers in the last couple of weeks, the stores have been busier than I've seen them in a couple of years--and people are clearly shopping.<br /><br />Maybe it's just North Carolina.<br /><br />Maybe Virginia is still in a slump--though I've heard similar reports from friends who live in Richmond.<br /><br />",,2,North Carolina,False,31110263,1273269113
14,"We don't make much distinction, in terms of law, when it comes to ""small businesses"". A small business can mean a factory employing 9 people, or it can mean a lone copy writer working on a piece work basis.<br /><br />There are thousands of unemployed graphic designers, copywriters, and editors who are not receiving any government help or tax breaks at all right now. Classified as ""Independent Contractors"" the businesses we work for are not required to make a contribution to unemployment insurance on our behalf, so we are not entitled to unemployment benefits when the economy collapses. Being an Independent Contractor is often just a glorified way of saying that we do piecework in the creative arts.<br /><br />We are not included when the unemployment statistics are calculated—if we were the official 10% unemployment rate would would not look quite so rosy. We're invisible, even though we paid ""self employment"" taxes for decades.<br /><br />I see people around me who have had their unemployment benefits extended by a year and I'm glad because I know they are desperately in need of this help. I also see people who regard their unemployment checks as an extended vacation, an opportunity to travel a little bit, or go back to school. I've been looking for work since 2008 and using up my savings to pay bills.<br /><br />I wish the government would recognize the unique pickle that we're in. Perhaps they could re-define ""extended unemployment insurance"" as ""emergency aid to the unemployed"" and extend some of that aid to the thousands of unemployed freelancers who can prove that they have been working and paying taxes for five years or more.",,2,Connecticut,False,55460769,1276870850
15,"All of my grandparents immigrated to the United States in the 1900 to 1910 timeframe.  My father had no education whatever but earned an adequate living as a truck driver.  My mother had a second grade education and worked in a shoe factory sweat shop.  My sisters and I attended a ""starter school"" similar to the one in the article.  From there I went on (unknowingly at the time) to become the first person in our family to graduate from college.  I paid all expenses myself. Since then many in our family have also gone on to college. Point being I have some first hand knowledge of immigrant families and education.<br /><br />May I respectfully suggest that the major emphasis for immigrant families NOT be on the arts.  Please understand I love and appreciate the arts.  My one daughter is a Masters in Fine Arts and the other is graduated in Interior Design.  Both are making a living and I encouraged their career choices. But their parents had the task of providing an environment where we could pay for the opportunity to develop their talent in the areas of their choice.<br /><br />Perhaps, had the principal educated the newly-arrived children in a reality that had to do with the skills they needed to cope with everyday challenges, she would still have her job.  When it comes to connection with reality, making a living is as real as it gets.  In my humble opinion that school failed the children.  The priorities were simply not appropriate to the clientle.  While a wonderful skill, playing the violin is not the immediate need for children with cultures different than the one in which they live.",,2,"Salt Lake City, UT",False,30980980,1279569954
16,"Fascinating to read the article and comments and to know how much more complicated the whole situation is.<br /><br />I'm a parent of a soon-to-be second grader at The Integrated Arts Academy at H.O. Wheeler and would never consider sending my child to another school.  When you walk through the halls of the I.A.A., you see children learning and growing through art.  You see them expressing themselves through writing and performing, demonstrating the same skills so woefully and inappropriately tested for through NCLB.  The evidence is in the progress of each student from day to day, week to week, month to month.<br /><br />Losing Joyce is a travesty because she has taken us through our first year as a magnet school and now we must deal with the uncertainties of starting over with someone new.  That said, the school will move forward because of community involvement and a willingness to make sure what Joyce has begun continues to grow. The entire school community--students, parents, neighbors, teachers, staff and administration--is dedicated to creating and sustaining a dynamic learning environment.<br /><br />The I.A.A. at H.O. Wheeler is not a failing school.  Through her dedication and innovation, Joyce Irvine has established a school where, during an end-of-the-year slide show for a mandatory assembly, the students applauded most loudly not for themselves on the screen, or for the New Year's Eve dragon parade through downtown Burlington, or for the school musical.  Instead they cheered and stomped and whistled for a simple image of the school building. These are students who are invested in their school and who take pride in their education. ",,6,"burlington, vt",False,59695049,1279568219
17,"The federal law ""No Child Left Behind"" was implemented in 2001, much to the dismay of many teachers and many other sensible people who know how children learn. This law was the Bush administration's idea and was pushed by Republicans and others who don't know about education.<br /><br />From the outset, non-partisan analysts, by running appropriate statistical tests, showed that, by 2014, when this law requires ALL students to be ""proficient"" (despite the fact that non-English-speaking immigrant chidren continue to arrive year after year from all over the world), most American schools would have to be deemed ""failures."" The No Child Left Behind goals are practically impossible to achieve, because the bar keeps rising year after year, no matter how high-achieving a school is.<br /><br />As a longtime U.S. high school teacher, school administrator (including principal), and university adjunct professor now training teachers to be school leaders, I can confidently declare--based on firsthand observations and more than 34 years of experience--that No Child Left Behind has left millions of children behind, as well as thousands of good teachers who were charged with fulfilling goals that had little or nothing to do with high-quality, innovative, challenging, esteem-nourishing, and child-respecting education.<br /><br />What President Obama needs to do is not just tweak the No Child law, but to take whatever actions are necessary to end it and replace it with something that truly measures student learning in all its manifestations--verbal, visual, kinesthetic, and auditory. I feel glad that Wheeler's children evidently learned so much, with joy and pride. Standardized tests can never, ever approach the individuality that defines learning.<br /><br />",,6,"Pasadena, CA",False,57036660,1279565336
18,Why did he have to drag the dignified Lloyd Bentsen into his ugly mess!!!?<br /><br />Obama should have made sure he was FIRED.,,3,Houston,False,15826066,1282840702
19,"As a Baltimorean, I think what Alan Simpson should apologize for is failing to attribute the offending phrase to its source, H.L. Mencken, who in the Depression used it to describe his archenemy President Roosevelt's view of the federal government.",,7,Baltimore,True,22772288,1282828642
20,I think the present Chinese government falls squarely within the ancient Mandarin tradition of government by the most learned.,,1,New York City,False,59645061,1286156964
21,"The Democrats are our best chance to move the country forward and to protect Social Security and Medicare.  The GOP is the party of the rich, by the rich, for the rich.  Vote in November and bring your family and friends.  From Face the Nation:<br /><br />Bernie Sanders:  ""I think in his heart the President is a very, very decent guy; he wants to do what most Americans want him to do:  To reach out, bring people together.  But what has happened is the Republicans have said 'no, no, no.'  They have waged more filibusters than any time in the history of this country.  They have been the party of 'no' and obstructionism.  At some point, what the President has got to understand is they do ‘not’ want America to succeed.  They're into politics.  I think gaining power is their major initiative.<br /><br />On the floor of the Senate, Bob, I've got to tell you, every single day it's 60 votes to pass legislation. That is unprecedented in American history.  The President and the Democrats have made very significant accomplishments, which can't be dismissed.  A health care reform, 30 million more people getting health insurance.  The stimulus package which has changed national priorities, created and saved 2.3 to 3 million jobs.  Financial reform.  That's nothing to sneeze at.<br /><br />You can do all kinds of good things but if you have 16% of our population unemployed, underemployed or have given up looking for work, you know what?  We have a very serious situation.  I think there's a concern that the President hasn't seen that urgency, stood up for working families in the way we would like him to do, and taken on the big money interests and said to the American people exactly what FDR said in the 1930s:  'Listen, I am on your side. Their greed, their recklessness on Wall Street has caused these problems. I'm going to take them on. I'm coming to you. We're going to work together on a progressive agenda to expand the middle class.""<br /><br />Ed Rendell:  ""Look at the small business bill.  Republicans have talked all summer about helping small business.  And yet there was a bill with $30 billion of lending authority with elimination of capital gains on small businesses.  And they held it up until Senator Voinovich cast the deciding vote. They held it up all summer long.  It could have been helping small businesses three or four months earlier, had they acted responsibly.""<br /><br />Bill Richardson:  ""For some reason everyone is scared of them [the Tea Party].  What they really want to do to this country, when they talk about reducing deficits, is they're cutting into Medicare, Medicaid, firefighters, teachers, nurses, people's benefits, Social Security.”",,2,Virginia,False,59813027,1286131606
22,Not much to say except I just skipped all of them. Not a one inspired me to comment.<br /><br />They are more interested in golf and football on Sundays. Sad.,,1,California,False,54135615,1286127729
23,Oct 3rd morning breakfast.<br />These guest need to continue their discussion at Thanksgiving dinner along with your least liked relatives. Most everyone was to right or left. In the middle doesn't make news or ratings. Violence is against the law and punishable. ,,0,la,False,61246365,1286125896
24,Watching Chinese premier Wen Jiabao on Fared Zakaria's GPS sure reminds me of how pathetically inadequate most American politicians are in discussions with such deeply learned technocrats.,,2,New York City,False,59645061,1286117382
25,Bryn @ #7<br /><br />I reviwed the link you provided and it appears to me that Tom Carnahan is the beneficiary of a 107 million dollar earmark.<br /><br />The politically connected are doing very well in Washington as always!,,1,Chicago,False,59815100,1286114202
26,"Very useful stuff, Jane, but I read it hoping to find out the ""when"" of it all.  That used to be a big thing in journalism...  :)  (Sorry for the snide remark.)",,0,"Bradenton, Fla.",False,7156840,1286113615
27,"Really, Ms. Kagan's financial stake in rulings on federal issues is exactly the same as that of the other justices. They don't recuse themselves because they're employees of the federal government. What is she thinking? Doesn't anybody ask?",,0,New York City,False,59645061,1286110608
28,Watching this debate that Amanpour is trying to mediate is painful. She clearly does not have a good grasp of the facts around the underlying subject (the conflict between Islam and the Chirstianity and Judaism).,,0,Texas,False,61245382,1286120686
29,"the This Week ""debate"" was worse than a Jerry Springer show.  I expected someone to stand up and take a swing at one of the other guests.  Totally irresponsible stunt.  ",,0,new york,False,39470388,1286119109
30,please run the ratings of the Sunday morning shows to establish that this weekly blog is relevant or newsworthy.<br />thanks!,,2,dallas,False,13703958,1286053758
31,"Fareed Zakaria GPS!!  Come on Times, his program is the best out there and half of the time you neglect to plug his show.  ",,2,bellingham,False,60042067,1286072913
32,"I usually don't agree with Senator Sanders and I'm not a big fan of unions either; but this deal should be blocked.  If GE wants to divest itself of NBCU, they ought to just spin it off to stockholders.  ",,6,"On the outside, looking in",False,1197127,1289945145
33,"ATrainRolls: There's more to diversity than the color of the skin or the heritage of one's employees.  Example: In Chicago, when the FCC held a forum on the proposed Comcast/NBC Universal merger, the FCC invited public comment.  Both those who were in praise of Comcast and critical of the proposed merger held similar metrics in terms of race and gender diversity in that time for public comment.  But of those who praised Comcast, a good majority were Chicago-area non-profits who were aligned with Comcast and who didn't give any substantive merger-related reasons as to why the merger should be approved.<br /><br />On the other hand, those who were critical of the proposed merger represented a wider variety of media activists (aligned with groups and not), community media producers, public access TV producers, nonprofit organizations, students and educators, a variety of concerned individuals, and one even gentleman who ""works in the industry"" and gave comments anonymously, all of whom gave substantive reasons critical of the merger in terms of antitrust concerns, layoffs and antilabor tactics, insufficient public input, media concentration, the future of PEG television, the fate of MSNBC as a non-right-wing media resource, the future of net neutrality, the future of the 1st Amendment online, the cementing of corporate power in American life, and Comcast's dismal record on media issues and consumer rights. ",,1,"Chicago, IL",False,1453029,1290145051
34,Change seems to ruffle feathers. As for lack of diversity - I am Hispanic and work for Comcast and can guess what - we have diversity. It would be in people's best interest to investigate for themselves instead of repeating tired slogans of activists with ulterior motives. ,,0,Boston NY,False,53576092,1290022331
35,"I was sick and tired after eight long  dreary years of GW Bush, things haven't changed much.",,0,Seattle,False,44499492,1291775408
36,"governorjose -- Apparently you don't understand my point on turning the filibuster table on the Republicans. The filibuster is MORE leverage than a majority and the Democrats only need 40 out 53 members to threaten one. That means less cat herding.<br /><br />So start by holding no more votes this year because 'a compromise couldn't be reached.' The pressure to do something soon then begins.<br /><br />Next year, the Republicans House will start passing bills that the Senate must also pass. At that point, it will be possible to hold up a vote on tax cuts until other matters are settled. The Democrats are still the ones who call the shots there. I assert that the public will not have patience for Republicans refusal to extend UI benefits unless the rich get a tax cut. They will not have patience for a government shut down unless the rich get a tax cut. The Democrats can wait the Republicans out. 74% of Americans don't want the rich to get a tax cut. Nothing could be clearer. DADT repeal first, START next, UI benefits extension next, then two separate tax cut votes. Or all the tax cuts expire. Period. Because the Republicans insisted on their 'holy grail.' Then, in fairly short order, they'll cave. Optics improved.<br /><br />It's called a stance to negotiate from. It's called 'your tax cuts caused huge deficits and we can't afford them.' It's called 'let's see who blinks first in this Mexican stand-off' instead of 'I blinked before I even knew what was on the table, just like you wanted, Mr. McConnell.'<br /><br />Here are other areas I believe you are wrong on:<br /><br />The Democrats didn't want the tax cuts to lapse on any income except that over 250K.<br /><br />These tax cuts will be made permanent after they've been a campaign issue that Republicans will effectively appeal to their base on in 2012. They'll ask voters, 'If tax cuts are a bad idea, why did the President extend them last year?'<br /><br />The payroll tax reduction ballyhooed by the President will be made permanent also, dooming SS.<br /><br />Large parts of HIR will be effectively defunded because the deficit neutrality of the legislation depended on ending the Bush tax cuts.<br /><br />The President isn't spineless...he's getting the pragmatic (read: conservative) things that he wanted all along.<br /><br />The banks that were too big to fail...are now bigger, handing out the same bonuses, accounting for toxic assets by marking-to-fantasy in a game of extend and pretend, and are going to get bailed out again.<br /><br />He's restructured very little unless the new $14/hour rate for new UAW hirees is restructuring.<br /><br />Civilians want a repeal of DADT. Elderly military brass wants to keep it. So far, we're keeping it. Who controls what, now?<br /><br />I'm glad to have the debate. I respect your views. I heartily enjoy your comments. But these tax cuts for the rich will be counterproductive as both anti-stimulus in the form of more money chasing risk rather than being spent by consumers, and as additions to the deficit.<br /><br />",,0,Ann Arbor,False,59793377,1291771158
37,"Oh, but Mr. Obama knows what is right for us from his gut feelings. Like George W. Bush.<br />",,0,New York City,False,59645061,1291759316
